index,status,param_train_end,param_num_boost_round,param_learning_rate,param_num_leaves,param_feature_fraction,param_bagging_fraction,param_min_data_in_leaf,param_lambda_l1,param_lambda_l2,param_early_stopping_rounds,train_ic,train_ir,val_ic,val_ir,n_train_dates,n_val_dates,train_val_gap
139,ok,1800,160,0.03,31,0.8,0.8,50,0.001,0.1,20,0.34688531931178507,1.748192708051406,0.08564908636319976,0.46754993239580817,1795,157,0.26123623294858533
140,ok,1700,200,0.07,31,0.6,0.6,30,0.001,0.001,10,0.3451890115206299,1.5729845231311135,0.06926813000260448,0.3897281329263264,1695,257,0.2759208815180254
141,ok,1800,280,0.07,16,0.7,0.6,30,0.001,0.001,20,0.32403357141738653,1.6078726780538828,0.09105790608723249,0.5646715454064772,1795,157,0.23297566533015404
142,ok,1750,160,0.07,48,0.7,0.7,80,0.001,0.01,20,0.2652649881556494,1.2673730234119651,0.07995842424520581,0.43986424745608843,1745,207,0.1853065639104436
143,ok,1700,280,0.05,48,0.6,0.7,80,0.001,0.1,20,0.2596195656982255,1.1544780894033986,0.06993630887609387,0.3536559052376539,1695,257,0.1896832568221316
144,ok,1700,200,0.03,48,0.6,0.7,50,0.001,0.01,10,0.27631777946585867,1.15255711299892,0.06545132647718006,0.28863486854192505,1695,257,0.21086645298867862
145,ok,1700,240,0.03,48,0.8,0.8,30,0.001,0.01,10,0.3868958925923657,1.7838997762306166,0.08038253394423568,0.39509937793796657,1695,257,0.30651335864813
146,ok,1700,280,0.05,48,0.7,0.8,50,0.0,0.01,10,0.32557067512731336,1.4808188063992753,0.06436647575554705,0.31643359554964917,1695,257,0.2612041993717663
147,ok,1700,160,0.07,48,0.8,0.8,50,0.001,0.1,20,0.34818959157679813,1.618598977453326,0.06378931365484686,0.3863010433352565,1695,257,0.28440027792195127
148,ok,1750,160,0.03,31,0.6,0.7,80,0.01,0.01,30,0.26587363730543134,1.194224781295406,0.09558414479401864,0.49880419490106337,1745,207,0.1702894925114127
149,ok,1750,160,0.07,16,0.6,0.6,30,0.01,0.1,30,0.32103891464660445,1.549750401992826,0.0739774507451346,0.4366035782870736,1745,207,0.24706146390146985
150,ok,1750,240,0.03,48,0.8,0.6,30,0.0,0.1,30,0.36679421890557784,1.82380768907361,0.08416820849286619,0.4485744320474499,1745,207,0.2826260104127116
151,ok,1750,280,0.05,16,0.7,0.8,80,0.001,0.001,20,0.2914154627138178,1.349561180744174,0.08982885913375496,0.4742862760067325,1745,207,0.20158660358006283
152,ok,1750,240,0.03,16,0.6,0.8,80,0.001,0.01,20,0.27330976989538136,1.2329994439378102,0.08762102252904588,0.4494933564140013,1745,207,0.18568874736633548
153,ok,1700,280,0.07,16,0.6,0.8,30,0.01,0.01,20,0.34057024780805867,1.576010559745102,0.07676436921495296,0.43276384396175266,1695,257,0.2638058785931057
154,ok,1750,240,0.03,16,0.8,0.7,50,0.01,0.1,10,0.29292508518422145,1.3419820632142154,0.08765046767081881,0.44946700985599297,1745,207,0.20527461751340265
